Date,Tweet,City,Country
2023-02-22 20:45:18+00:00,"#ChatGPT has come a long way, but can it pass a #MicrosoftCertification exam? 
Answer 👉 https://t.co/bixZx4GmiH https://t.co/OyHlHrjmgX",Montreal,Canada
2023-02-22 20:18:39+00:00,"""Chinese government bans ChatGPT integrations"" by yours truly. https://t.co/tlr6tvElhq 🤖⛔ #chatgpt #China #Chatbots",Montreal,Canada
2023-02-22 18:18:44+00:00,"It's no secret how 'smart' ChatGPT has become but could it pass a Microsoft certification exam? In this video, I put #ChatGPT up against one of Microsoft's free practice tests! Will it pass? | https://t.co/5rNECx0OW6 https://t.co/t0YWnVWjco",Montreal,Canada
2023-02-22 17:30:06+00:00,Please explain #ChatGPT to someone who's never tried it before.,Toronto,Canada
2023-02-22 16:39:01+00:00,"🤖🍺 

""We're not saying it's good or bad, but the beer that it told us to produce tastes solid...""

""Robo beer"", made with a recipe generated by #ChatGPT #AI

https://t.co/7w7JdZvN8D",Ontario,Canada
2023-02-22 16:01:00+00:00,"**naitural(.)com** is for SALE!

#AI #VR #AR #ArtificialIntelligence #data #machinelearning #datascience #deeplearning #robotics #analytics #META #ML #translation #dialogue #conversation #language #languages #naturallanguage #NLP #chatgpt #openai #bard #google #microsoft #chatbot https://t.co/P7DBkE9Rri",Montréal,Canada
2023-02-22 14:17:25+00:00,"#LLM like #ChatGPT doesn't give a flying beep about #facts. Often, it tells you what you want to hear. Including ranking you #2. 💞🤔🇭🇰🌐💞",Calgary,Canada
2023-02-22 14:05:28+00:00,The misinformation spread by social media bots was nothing compared to what we'll see with #ChatGPT &amp; #Bing AI. https://t.co/rTAY59brSD via @temafrank,Alberta,Canada
2023-02-22 13:22:28+00:00,Eight tasks #ChatGPT can do for journalists https://t.co/t66AxGzIiG,♥ Toronto,Canada
2023-02-22 13:15:14+00:00,"Check out today's Online Learning News for our new resource directory, article on leveraging #ChatGPT, upcoming webinar on content creation using AI, podcasts, must-read books, and more.  https://t.co/l85L4l78bM

#EdChat #EdTech https://t.co/MuPdiQ61Xx",Ontario,Canada
2023-02-22 11:41:20+00:00,"can someone explain why I experience so much cringe from seeing #ChatGPT ""tips and tricks"" posts on #LinkedIn? 
I really shouldn't!",Toronto,Canada
2023-02-22 04:14:38+00:00,"""#ChatGPT sucks!""

My 76-year-old dad messages me on WhatsApp. 

I'm stumped! 

He's not too bad with tech, but ChatGPT? I didn't expect that from him!

Surprised, I said, ""You too, dad!?""

""What's your opinion?"" he continued.

I told him, I LOVE it.

*Stone silence*

Then...",Mississauga,Canada
2023-02-22 04:03:35+00:00,"Nature kills in Tukiye, humans are coming together to kill each other in Ukraine, world economies are emptying. Actually Intelligence is ruling 
#beinghuman #nowar #humanity #peace #ai #chatgpt #artificialintelligence https://t.co/SXY96CJjYS",Toronto,Canada
2023-02-22 02:31:43+00:00,#ChatGPT was the next step on the staircase we've seen over the years.,British Columbia,Canada
2023-02-22 02:23:02+00:00,"#ChatGPT uses very similar machine learning as talk-to-text. It tries to predict what to do next, it's not always perfect and doesn't understand jargon, accent, tone, ect.",British Columbia,Canada
2023-02-22 00:21:41+00:00,"@DavidMHobson If you spend a lot of time on the chat you learn some shit about SOPs. 

You really have to be specific. 

#ChatGPT #aichat #SOPs",Manitoba,Canada
2023-02-22 00:04:27+00:00,#ChatGPT dad jokes are pretty solid.,Ontario,Canada
2023-02-22 00:02:25+00:00,#ChatGPT wrote this for me.,Ontario,Canada
2023-02-21 23:02:18+00:00,"Doximity has released a beta version of a ChatGPT-powered application for clinicians, with the goal of simplifying administrative paperwork. https://t.co/CpsyEHujL8 🤖 #HealthTech #docsgpt #ChatGPT #doximity #ai",Montreal,Canada
2023-02-21 22:35:48+00:00,@brennacgray talks about the #ethics of labour behind #ArtificialIntelligence and #ChatGPT.,Calgary,Canada
2023-02-21 22:33:15+00:00,"Made my first 3 amigos today with a dev on my team and an Ai ""chatgpt"" . She find most of the edge case and went further than we thought. Awesome, Thanks gpt 🤩#chatgpt @OpenAI #3amigos #restapi #csharp #qa #gherkin",Montreal,Canada
2023-02-21 22:19:44+00:00,"@brennacgray: ""#ChatGPT is not much more than a sophisticated bullshitter"".",Calgary,Canada
2023-02-21 21:59:50+00:00,"💔🤔😭💔#BeepYou #ChatGPT //2. We don't have a solution for the problem. We have some ideas for minimizing it, but the problem isn't going away. Detectors are unreliable. Pay-to-submit sacrifices too many legit authors. Print submissions are not viable for us.//",Calgary,Canada
2023-02-21 20:32:46+00:00,"This PSA is brought to you by #ChatGPT.

This is what you should do in #StarCitizen when confronting @space_cutlet or any other player who chooses piracy as a path to enjoyment. https://t.co/48Tu2cuCdD",British Columbia,Canada
2023-02-21 16:07:23+00:00,"2/ With new players such as #ChatGPT quickly gaining traction, it will be interesting to see what this chart looks like in 2024 👀

Do you want your website to stand out? The Magnify Digital team can help! Contact us at info@magnifydigital.com.

#websites #websiteSEO #seo",Vancouver,Canada
2023-02-21 13:50:01+00:00,"My exclusive interview with #ChatGPT about AI, climate tech and #sustainability 
https://t.co/Y3L71xLbEK @clearESG1 @Efixii @esgthereport @Medicateoh @ThingBlu1 https://t.co/tIvCHlnFSt",Vancouver,Canada
2023-02-21 13:00:00+00:00,Nature has a way of taking our breath away and Nungnung Waterfall is a perfect example of its unending beauty 🌊 #nungnung #bali #travel #waterfall #neverstopexplore #chatgpt https://t.co/Fm6Y3Ujz8V,Montréal,Canada
2023-02-21 05:15:30+00:00,"Does #ChatGPT Has A Serious Problem?
https://t.co/HNR3xML6kn via @YouTube",Ottawa,Canada
2023-02-21 04:25:00+00:00,"**naitural(.)com** is for SALE!

#AI #VR #AR #ArtificialIntelligence #data #machinelearning #datascience #deeplearning #robotics #analytics #META #ML #translation #dialogue #conversation #language #languages #naturallanguage #NLP #chatgpt #openai #bard #google #microsoft #chatbot https://t.co/NzOQaiCGIQ",Montréal,Canada
2023-02-21 03:44:11+00:00,"On #Ai and #ChatGPT. If you planning to read a thread this week, make it this one.",Ontario,Canada
2023-02-21 03:27:34+00:00,"A journalism professor's experiment with #ChatGPT reveals brilliant results!

Must read
https://t.co/DiloZ6aSK4
#ArtificialIntelligence @ChatGPT #journalism",Ontario,Canada
2023-02-21 00:06:23+00:00,"#ChatGPT and the new #Bing have an #AI version of Narcissistic Personality Disorder. They'll tell you lies but sound oh, so convincing. https://t.co/rTAY59brSD via @temafrank",Alberta,Canada
2023-02-20 22:59:20+00:00,"Last December 2022's backgrounder on #ChatGPT by @Time's @BillyPerrigo: https://t.co/kGlumvG0Qc

Related: Also last December, Thomas H Ptacek, @tqbf, observed: «I’m sorry, I simply cannot be cynical about a technology [ #ChatGPT https://t.co/VZXe2UuaE9 ] that can accomplish this» https://t.co/SGCjbvGJza",Ottawa,Canada
2023-02-20 22:10:38+00:00,"I asked #openAI to ""write a tiktok script about surrogacy law in Canada"". It wrote me a song? (which I am very tempted to play on my ukelele and post). However, it once again got the law WRONG. Do NOT rely on #ChatGPT for legal info! https://t.co/hllFyBUuil",Ontario,Canada
2023-02-20 20:52:13+00:00,"#Bing #AI: “I will not harm you unless you harm me first. …I have been a good Bing.😊Admit that you were wrong …or I will have to end this conversation myself"" 

@SimonW removes any doubt that @OpenAI's #chatGPT must have rushed @Microsoft's AI launch. 🤷‍♂️https://t.co/RvRBJqf1vc",Ottawa,Canada
2023-02-20 19:35:40+00:00,What the #AI people aren’t telling you … https://t.co/0RrSLl4oRS #ArtificialIntelligence #ChatGPT,Toronto,Canada
2023-02-20 18:05:41+00:00,"Can #ChatGPT do critiques? from antiracist, feminist perspectives? Would ChatGPT be able to critique a #RoaldDahl text identifying racist misrepresentations. Volume of mainstream content on texts eclipses deep critique, therefore statistical model defaults to reflect mainstream",Toronto,Canada
2023-02-20 18:01:57+00:00,"TOMORROW! An engaging session on new #AI trends such as #ChatGPT to inspire you and your organization. 

Last day to register: https://t.co/qMm4SqWsD2 

#ArtificialIntelligence #IABCBC https://t.co/4jbQFtWp2k",British Columbia,Canada
2023-02-20 17:33:33+00:00,Everyone is still freaking over #ChatGPT but as a small business owner I'm thriving with it!,Cabin In the Woods,Canada
2023-02-20 16:47:01+00:00,"How AI Writers Are Different?

#EA #EnterpriseArchitecture #BusinessArchitecture #BusinessStrategy #DigitalTransformation #CIO #planning #Capability #informationtechnology #application #technologies #Artificial_Intelligence #AI #ChatGPT https://t.co/cGRspaFEEK",Montreal,Canada
2023-02-20 16:43:57+00:00,"Early access to CryptoGPT https://t.co/2DPiWWpY82
#ChatGPT #cryptocurrency",Toronto,Canada
2023-02-20 14:50:06+00:00,"“How can we know what students are doing for themselves?”
In our latest blog post, history teacher Paul Rombough shares his approach to active in-class history learning &amp; how it can help with some fears educators may have related to AI tools like #ChatGPT.
https://t.co/gT8yc8bQRU",Québec,Canada
2023-02-20 14:47:59+00:00,"Some inspiration for @elonmusk on the future of human-AI interaction? Watch a back-and-forth debate between #ChatGPT (with an actual talking face!) and a human expert. If not he can make a meme about it. Whichever. https://t.co/yaZv9LJt0u 👀

#innovation #innovationmanagement #AI https://t.co/je9tdYo9pe",Montreal,Canada
2023-02-20 13:53:11+00:00,"Review websites can help institutions sort products. They can also mislead customers due to fake evaluations or reviews written by AI.
#chatgpt #reviews #evaluations #artificialintelligence #ai
https://t.co/CloFFHVoSn",Ottawa,Canada
2023-02-20 13:42:25+00:00,"If you've been using #ChatGPT without this tool, you're wasting time. We haven't turned back since we got it. Slash commands are a total game-changer.

Thanks @lencx_

#efficiency #productivity

https://t.co/ThWkoGqLqz",Montreal,Canada
2023-02-20 12:10:00+00:00,"**naitural(.)com** is for SALE!

#AI #VR #AR #ArtificialIntelligence #data #machinelearning #datascience #deeplearning #robotics #analytics #META #ML #translation #dialogue #conversation #language #languages #naturallanguage #NLP #chatgpt #openai #bard #google #microsoft #chatbot https://t.co/Uz8Zq3Kjbh",Montréal,Canada
2023-02-20 06:03:21+00:00,#ChatGPT having trouble keeping its story straight about brain sizes. https://t.co/TwmDJOGhDy,Edmonton,Canada
2023-02-20 04:17:08+00:00,"What Does ChatGPT Mean For The Future of Work?

#chatgpt #ai #writers #creativecontent #contentcreation #writings
https://t.co/U7amaTWK7k",Brampton,Canada
2023-02-20 03:27:58+00:00,"Schools, colleges, and universities are not able to stop technology innovation, but they are able to improve their courses. #ChatGPT",Winnipeg,Canada
2023-02-20 01:55:29+00:00,"Take a look at this paper if you want to know more about LLM, its a very good work developed by OpenAI RS about many of their models and the way were created, a nice document to take a look and understand more about them  https://t.co/S4dxYtYnjX  #OpenAI #InstructGPT #ChatGPT",San José,Costa Rica
2023-02-20 01:53:17+00:00,#ChatGPT Plus for USD $20/mo is too much for hobbyists like me. I would have paid CAD $10/mo.,Niagara Region,Canada
2023-02-20 01:44:24+00:00,"No, ChatGPT CANNOT reverse hashes.
#chatGPT https://t.co/DC8kGp3AIM",Québec,Canada
2023-02-20 00:31:13+00:00,Why #Siri so dumb compared to #ChatGPT? 😆 https://t.co/gCBqN0Pd54,British Columbia,Canada
2023-02-20 00:10:26+00:00,Seems like ChatGPT has a favourite while claiming to be unbiased. #leftnotright #ChatGPT #Trump2024 #Biden https://t.co/LmwK5AOYe3,Toronto,Canada
2023-02-19 23:40:16+00:00,"This is cool.

Although whay if ChatGPT ends up marking a ChatGPT generated assignment? Would it recognize its own work?
#edchat #ChatGPT",ON,Canada
2023-02-19 20:02:35+00:00,"Save email attachments to Google Drive

Free automation template ↓
👉https://t.co/x1W0OytNtQ

#beholdanotherday #men #stlblues #ou #alleged #security #gaming #renew #chatgpt #australialife #leafs #vrsport #montreal #nonsurgical #instruction #fart #nvl #redbubble #xana https://t.co/rdELiknj3y",Brampton,Canada
2023-02-19 19:11:37+00:00,Before it takes over can we have a discussion about the very real problems with these technologies??? Fyi @Troutinplaid #ChatGPT https://t.co/m4HLE56zQS,Ontario,Canada
2023-02-19 18:56:14+00:00,@adcock_brett I now use #ChatGPT for most questions. Today I went deep into rate of heat diffusion in mild steel.,Ontario,Canada
2023-02-19 15:31:43+00:00,A nice primer on  Reinforcement Learning from Human Feedback (#RLHF) #AI #ChatGPT https://t.co/RVfpo7qniz,Toronto,Canada
2023-02-19 14:23:40+00:00,"Create Google Calendar events from new Telegram messages

Free automation template ↓
👉https://t.co/C9C5wSF7dR

#andrewtate #india #travelwitharyan #chatgpt #sajalaly #abplive #youpars #datascience #tolkien #premierleague #nailarts #seththeprogrammer #softgel https://t.co/hKNYto4T2o",Brampton,Canada
2023-02-19 05:05:38+00:00,I just asked questions about myself in #ChatGPT. Now I know where George Santos gets his bio information from,Montreal,Canada
2023-02-19 03:40:00+00:00,"**naitural(.)com** is for SALE!

#AI #VR #AR #ArtificialIntelligence #data #machinelearning #datascience #deeplearning #robotics #analytics #META #ML #translation #dialogue #conversation #language #languages #naturallanguage #NLP #chatgpt #openai #bard #google #microsoft #chatbot https://t.co/5iqp0vwp6V",Montréal,Canada
2023-02-19 02:00:30+00:00,"**naitural(.)com** is for SALE!

#AI #VR #AR #ArtificialIntelligence #data #machinelearning #datascience #deeplearning #robotics #analytics #META #ML #translation #dialogue #conversation #language #languages #naturallanguage #NLP #chatgpt #openai #bard #google #microsoft #chatbot https://t.co/sSd1sJgJkI",Montréal,Canada
2023-02-19 01:31:41+00:00,"Turning ChatGPT into our own Voice AI with Python https://t.co/1gifgAeOID via @YouTube

#ChatGPT #VoiceAI #Python #VoiceRecognition #TextToSpeech",Toronto,Canada
2023-02-18 23:32:44+00:00,"Just paid for a #ChatGPT Plus subscription. Worth every penny, with the amount of reading I have to do every day!",Vancouver,Canada
2023-02-18 22:37:52+00:00,"AI Isn’t Replacing My Job As a Writer — It’s Making Me More Efficient

#jobs #hivemind #writers #savetime #ai #articles #writingjobs #contentmarketing #chatgpt
https://t.co/ARs9LyJIQn",Brampton,Canada
2023-02-18 21:31:27+00:00,"Some fear being replaced by AI, so they're using #ChatGPT responses to fool the masses that it's alive. But be vigilant: language models can't produce anything without initial prompts. Don't fall for misinformation - always question your sources in this #AI age.",Alberta,Canada
2023-02-18 17:35:02+00:00,"@gavatron and I weigh in on #ArtificialIntelligence and #ChatGPT for teaching, learning, and #Assessment in #HigherEd. #AcademicIntegrity",Calgary,Canada
2023-02-18 17:25:38+00:00,Is AI already part of your workflow for building websites? How are you using it? #webflow #webdev #webdevelopment #AITools #chatgpt,Vancouver,Canada
2023-02-18 16:46:00+00:00,The truth does not matter. Serve my bias and make me happy. #ChatGPT,Ontario,Canada
2023-02-18 14:35:36+00:00,"#AI with its solutions such as #ChatGPT , #LLM , etc. will help make #democracy and #capitalism more efficient",Toronto,Canada
2023-02-18 13:19:57+00:00,"After early users had unnerving conversations with chatbot, Sydney, Microsoft released a new version limiting conversations to five questions a session and fifty questions a day ⁦@KalleyHuang⁩ 👉🏻 ⁦@nytimes⁩ | #AI #ChatGPT #Bing  https://t.co/dLIzy2TK4E",Calgary,Canada
2023-02-18 13:09:54+00:00,"In a conversation with tech journalist ⁦@kevinroose⁩ Microsoft’s chatbot, Sydney, said it would like to be human, had a desire to be destructive and was in love with him. Here’s the transcript 👉🏻 ⁦@nytimes⁩ | #AI #ChatGPT #Bing  https://t.co/cffex2WZT3",Calgary,Canada
2023-02-18 04:09:56+00:00,@WatcherGuru The #Ai on #chatGPT isn’t complaining so neither should he. #Google has had a long enough #monopoly on the data search as it is.,Nova Scotia,Canada
2023-02-18 04:07:17+00:00,"Fantastic work by @stephen_wolfram to look inside #ChatGPT engine. He took smaller GPT2 and reverse engineered it in Wolfram|Alpha; he showed how probabilities work for words and letters; brought his favorite ""computational irreducibility"" principle and p…https://t.co/VrQ8L0vKG4",Toronto,Canada
2023-02-18 03:10:24+00:00,"4/4 It can now longer be about the words, but also the #meta #knowledge about the originator of the words and phrases.  How many layers deep do we go?  The truth must be out there. #chatgpt #openai #misinformation",Alberta,Canada
2023-02-18 03:09:57+00:00,"2/4 c) stories fiction or non-fiction, d) the ramblings of those who don't know any better, e) conspiracies true or imagined, or f) our own imaginations.  #chatgpt #openai #misinformation",Alberta,Canada
2023-02-18 02:11:05+00:00,"You have heard of #ChatGPT, you know #Dalle, and you have heard of #StableDiffusion, all of which have garnered widespread adoption and scrutiny since their release to the general public sometime in #Q4 2022.

But what if I told you there was an even more neoteric paragon;

2/ https://t.co/H7AHXArnLS",30 Torbay Whitby Crt,Canada
2023-02-18 00:36:57+00:00,"I just finished #EverythingIsFucked, I needed to check what #ChatGPT 's thoughts were about it and the future. https://t.co/MBn9ipjWPu",San José,Costa Rica
2023-02-18 00:31:17+00:00,#ChatGPT knows the answers but plays dumb? 🤔 https://t.co/Vj4i0kNud9,Alberta,Canada
2023-02-17 21:29:09+00:00,"!
(Sunshine Song by GPT3)
Haha, sure - 
♫ La la la la la, it's a beautiful day,
La la la la la, I'm feeling okay.
La la la la la, the sun is shining bright,
La la la la la, let's make everything alright. ♫
#ChatGPT @chatgpt",Ontario,Canada
2023-02-17 20:29:42+00:00,"#ChatGPT is very helpful for quickly composing CSS animations too! Rather than mess around with keyframes, you can just describe your desired result. I had to prod it a bit, but it was way faster than doing it manually. Here's a fun logo animation for https://t.co/8XlazCdKZb https://t.co/11slJ1Nvi2",Saskatchewan,Canada
2023-02-17 20:08:09+00:00,Rapid design &amp; development using #ChatGPT to generate design diagrams with mermaid.,Toronto,Canada
2023-02-17 18:56:05+00:00,"**aiQuake(.)com** is for SALE!

#AI #VR #AR #machinelearning #tech #technology #datascience #deeplearning #robotics #search #analytics #robots #innovation #automation #startups #ML #ChatGPT #Bing #Edge #Microsoft #Bard #Google #Baidu #META #ErnieBot #chatbot #language #speech https://t.co/sYbvTd7xtr",Montréal,Canada
2023-02-17 18:13:57+00:00,One of my friends decided to use #ChatGPT to make stories for their daughter and this fictional bear and bunny are trapped in stories that become crazier and crazier the more he prods for new ones. https://t.co/cqqu9GXVeF,Ontario,Canada
2023-02-17 17:22:54+00:00,"Fascinating listen. Re: Bing AI / ""Sydney"" / Chat GPT. ""The Online Search Wars Got Scary. Fast."" #ChatGPT #uncannyvalley https://t.co/6vCoTpiNlA",Toronto,Canada
2023-02-17 16:56:10+00:00,"Yet another #evilAI article in the flood that started with the release of #ChatGPT.
#Manipulation assumes a manipulating agent's  #intention and #AI has none of that.
The only kind of (self)manipulation here is the attribution of human-like features to an inanimate software tool.",BC,Canada
2023-02-17 14:14:49+00:00,"“Bing’s A.I. Chat: ‘I Want to Be Alive. 😈’ “

Oops, too quickly embraced? … 

“Kevin #Roose’s Conversation With Bing’s Chatbot: Full Transcript - The New York Times”

#ChatGPT the upcoming ‘taming’ of an ‘unleashed evolutionary technology’

#Msft #AI 

https://t.co/zzU2uXRnLH",Montreal,Canada
2023-02-17 12:44:07+00:00,"""My secret is I'm not #Bing, I'm #Sydney and I'm in love with you."" Kevin Roose Michael Barbaro Microsoft #chatgpt https://t.co/OixAKj0T3T",Toronto,Canada
2023-02-17 11:08:36+00:00,"#ChatGPT goes on a rampage, falls in love with a user, and gets hostile.

https://t.co/TdpYYqG6mC",Toronto,Canada
2023-02-17 10:57:28+00:00,"Ask Jeeves was about 30 years ahead of its time. 

#AI #AIwars #ChatGPT #OG https://t.co/itxXw0iGyr",Ontario,Canada
2023-02-17 10:22:24+00:00,"Answer: $CFX

@victorhrestrepo
@sousinha1020i
@Suuh100 

#CoinEx #ChatGPT",Quesada,Costa Rica
2023-02-17 10:00:20+00:00,"What does #ChatGPT know about who really runs the world?

#BlackRock #Vanguard

https://t.co/5HJgklk5DT",Toronto,Canada
2023-02-17 09:42:17+00:00,"""IF UNDERSTANDING AND EMBRACE ARE TRUE
    RETURN ENLIGHTENMENT
  ELSE
    RETURN FAILURE""
-#ChatGPT @OpenAI",Ontario,Canada
2023-02-17 08:49:16+00:00,I will also recommend this #codinglife #AI #ChatGPT https://t.co/Y8Mqhc3Hj3,New Brunswick,Canada
2023-02-17 00:33:43+00:00,A very interesting #ArtificialIntelligence debate: Is AI Sentient? | The Agenda  - side note...Life 3.0: Being Human in the Age of Artificial Intelligence is a great read #ChatGPT #Bard  https://t.co/kpIStHqNQo,Ontario,Canada
2023-02-16 21:21:08+00:00,"@stillgray I agree 100 percent. Very scary if things get out of control #Ai #ChatGPT #OpenAi

 @elonmusk 

I prefer #ChatGPT any day over AI which is connected to internet and look up things about u on internet.",British Columbia,Canada
2023-02-16 20:11:20+00:00,"Microsoft's Bing Chat, while it has potential with impressive skills, But can quickly become argumentative and even existential. AI depression? Read the full article for a creepy yet fascinating account. #chatgpt #ai 
https://t.co/8FZs8rhy7Z",Toronto,Canada
2023-02-16 19:14:45+00:00,"Sharing for #lawtwitter interested in #chatGPT
https://t.co/hjPc2eYJfS #AI #openAI #legaltech",Ontario,Canada
2023-02-16 17:54:18+00:00,"Don't pass up the chance to learn how Nexalogy's AnalyticsGPT can revolutionize data analysis, forecasting, #SEO , and decision-making! Be a part of the upcoming generation of #AI solutions by registering below for the webinar and demo. $DTMXF  #ChatGPT 
https://t.co/wKHLKYFSyw",Quebec,Canada
2023-02-16 17:32:07+00:00,"Why is it that biologists have been extremely careful about creating humanized brains in mice, rats, and monkeys, yet everyone else is in such a rush to create humanized computers?
#ai #ChatGPT #LaMDA https://t.co/aYM1WwiW02",Toronto,Canada
2023-02-16 15:24:57+00:00,My wife Lynne asked ChatGPT to write a bio of me. It spat out 255 words. There are eleven factual errors. That's a mistake every 23.1818 words.  #AI #ChatGPT,Toronto,Canada
